"@timestamp","@version","@version.keyword",Base,"Base.keyword","Data\Time","Data\Time.keyword",Date,"Date/TimeFloor","Date/TimeFloor.keyword",Geo,"Geo.keyword",Hour,Lat,Lon,WeekdayName,"WeekdayName.keyword",WeekdayNumber,WeekmonthName,"WeekmonthName.keyword",WeekmonthNumber,"_id","_index","_score","event.original","event.original.keyword",geo,message,"message.keyword"
"Jul 19, 2022 @ 01:45:58.713",1,1,B02512,B02512,"2014-09-02 10:23:00","2014-09-02 10:23:00","Sep 2, 2014 @ 04:30:00.000","2014-09-02 10:00:00","2014-09-02 10:00:00","POINT (40.7513 -73.994)","POINT (40.7513 -73.994)",10,"40.751","-73.994",Tuesday,Tuesday,1,September,September,9,"Pc0qE4IB5GW_hXBX9WLj",testtwo,"-","2014-09-02 10:23:00,40.7513,-73.994,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7513 -73.994)","2014-09-02 10:23:00,40.7513,-73.994,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7513 -73.994)","POINT (-73.99400336667895 40.751300789415836)","2014-09-02 10:23:00,40.7513,-73.994,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7513 -73.994)","2014-09-02 10:23:00,40.7513,-73.994,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7513 -73.994)"
"Jul 19, 2022 @ 01:45:53.711",1,1,B02512,B02512,"2014-09-02 10:23:00","2014-09-02 10:23:00","Sep 2, 2014 @ 04:30:00.000","2014-09-02 10:00:00","2014-09-02 10:00:00","POINT (40.7556 -73.9764)","POINT (40.7556 -73.9764)",10,"40.756","-73.976",Tuesday,Tuesday,1,September,September,9,"PM0qE4IB5GW_hXBX4mJV",testtwo,"-","2014-09-02 10:23:00,40.7556,-73.9764,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7556 -73.9764)","2014-09-02 10:23:00,40.7556,-73.9764,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7556 -73.9764)","POINT (-73.97640229202807 40.75559995137155)","2014-09-02 10:23:00,40.7556,-73.9764,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7556 -73.9764)","2014-09-02 10:23:00,40.7556,-73.9764,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7556 -73.9764)"
"Jul 19, 2022 @ 01:45:48.714",1,1,B02512,B02512,"2014-09-02 10:22:00","2014-09-02 10:22:00","Sep 2, 2014 @ 04:30:00.000","2014-09-02 10:00:00","2014-09-02 10:00:00","POINT (40.7515 -73.994)","POINT (40.7515 -73.994)",10,"40.752","-73.994",Tuesday,Tuesday,1,September,September,9,"O80qE4IB5GW_hXBXzmLT",testtwo,"-","2014-09-02 10:22:00,40.7515,-73.994,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7515 -73.994)","2014-09-02 10:22:00,40.7515,-73.994,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7515 -73.994)","POINT (-73.99400336667895 40.75149914715439)","2014-09-02 10:22:00,40.7515,-73.994,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7515 -73.994)","2014-09-02 10:22:00,40.7515,-73.994,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7515 -73.994)"
"Jul 19, 2022 @ 01:45:43.713",1,1,B02512,B02512,"2014-09-02 10:22:00","2014-09-02 10:22:00","Sep 2, 2014 @ 04:30:00.000","2014-09-02 10:00:00","2014-09-02 10:00:00","POINT (40.7625 -73.9706)","POINT (40.7625 -73.9706)",10,"40.763","-73.971",Tuesday,Tuesday,1,September,September,9,"Os0qE4IB5GW_hXBXu2JI",testtwo,"-","2014-09-02 10:22:00,40.7625,-73.9706,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7625 -73.9706)","2014-09-02 10:22:00,40.7625,-73.9706,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7625 -73.9706)","POINT (-73.97059631533921 40.76250073034316)","2014-09-02 10:22:00,40.7625,-73.9706,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7625 -73.9706)","2014-09-02 10:22:00,40.7625,-73.9706,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7625 -73.9706)"
"Jul 19, 2022 @ 01:45:38.713",1,1,B02512,B02512,"2014-09-02 10:20:00","2014-09-02 10:20:00","Sep 2, 2014 @ 04:30:00.000","2014-09-02 10:00:00","2014-09-02 10:00:00","POINT (40.7522 -73.9932)","POINT (40.7522 -73.9932)",10,"40.752","-73.993",Tuesday,Tuesday,1,September,September,9,"Oc0qE4IB5GW_hXBXp2LA",testtwo,"-","2014-09-02 10:20:00,40.7522,-73.9932,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7522 -73.9932)","2014-09-02 10:20:00,40.7522,-73.9932,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7522 -73.9932)","POINT (-73.99320222437382 40.752201047725976)","2014-09-02 10:20:00,40.7522,-73.9932,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7522 -73.9932)","2014-09-02 10:20:00,40.7522,-73.9932,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7522 -73.9932)"
"Jul 19, 2022 @ 01:45:33.710",1,1,B02512,B02512,"2014-09-02 10:20:00","2014-09-02 10:20:00","Sep 2, 2014 @ 04:30:00.000","2014-09-02 10:00:00","2014-09-02 10:00:00","POINT (40.8092 -73.9211)","POINT (40.8092 -73.9211)",10,"40.809","-73.921",Tuesday,Tuesday,1,September,September,9,"OM0qE4IB5GW_hXBXlGI2",testtwo,"-","2014-09-02 10:20:00,40.8092,-73.9211,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.8092 -73.9211)","2014-09-02 10:20:00,40.8092,-73.9211,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.8092 -73.9211)","POINT (-73.92109681852162 40.8092002524063)","2014-09-02 10:20:00,40.8092,-73.9211,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.8092 -73.9211)","2014-09-02 10:20:00,40.8092,-73.9211,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.8092 -73.9211)"
"Jul 19, 2022 @ 01:45:28.709",1,1,B02512,B02512,"2014-09-02 10:19:00","2014-09-02 10:19:00","Sep 2, 2014 @ 04:30:00.000","2014-09-02 10:00:00","2014-09-02 10:00:00","POINT (40.7277 -73.9913)","POINT (40.7277 -73.9913)",10,"40.728","-73.991",Tuesday,Tuesday,1,September,September,9,"N80qE4IB5GW_hXBXgGKt",testtwo,"-","2014-09-02 10:19:00,40.7277,-73.9913,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7277 -73.9913)","2014-09-02 10:19:00,40.7277,-73.9913,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7277 -73.9913)","POINT (-73.99130254983902 40.72769927792251)","2014-09-02 10:19:00,40.7277,-73.9913,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7277 -73.9913)","2014-09-02 10:19:00,40.7277,-73.9913,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7277 -73.9913)"
"Jul 19, 2022 @ 01:45:23.709",1,1,B02512,B02512,"2014-09-02 10:19:00","2014-09-02 10:19:00","Sep 2, 2014 @ 04:30:00.000","2014-09-02 10:00:00","2014-09-02 10:00:00","POINT (40.7435 -73.9997)","POINT (40.7435 -73.9997)",10,"40.744","-74",Tuesday,Tuesday,1,September,September,9,"Ns0qE4IB5GW_hXBXbWIk",testtwo,"-","2014-09-02 10:19:00,40.7435,-73.9997,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7435 -73.9997)","2014-09-02 10:19:00,40.7435,-73.9997,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7435 -73.9997)","POINT (-73.99970247410238 40.743499752134085)","2014-09-02 10:19:00,40.7435,-73.9997,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7435 -73.9997)","2014-09-02 10:19:00,40.7435,-73.9997,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7435 -73.9997)"
"Jul 19, 2022 @ 01:45:18.709",1,1,B02512,B02512,"2014-09-02 10:18:00","2014-09-02 10:18:00","Sep 2, 2014 @ 04:30:00.000","2014-09-02 10:00:00","2014-09-02 10:00:00","POINT (40.7655 -73.97)","POINT (40.7655 -73.97)",10,"40.766","-73.97",Tuesday,Tuesday,1,September,September,9,"Nc0qE4IB5GW_hXBXWWKg",testtwo,"-","2014-09-02 10:18:00,40.7655,-73.97,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7655 -73.97)","2014-09-02 10:18:00,40.7655,-73.97,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7655 -73.97)","POINT (-73.97000128403306 40.765499104745686)","2014-09-02 10:18:00,40.7655,-73.97,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7655 -73.97)","2014-09-02 10:18:00,40.7655,-73.97,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.7655 -73.97)"
"Jul 19, 2022 @ 01:45:13.709",1,1,B02512,B02512,"2014-09-02 10:17:00","2014-09-02 10:17:00","Sep 2, 2014 @ 04:30:00.000","2014-09-02 10:00:00","2014-09-02 10:00:00","POINT (40.77 -73.9633)","POINT (40.77 -73.9633)",10,"40.77","-73.963",Tuesday,Tuesday,1,September,September,9,"NM0qE4IB5GW_hXBXRmIU",testtwo,"-","2014-09-02 10:17:00,40.77,-73.9633,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.77 -73.9633)","2014-09-02 10:17:00,40.77,-73.9633,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.77 -73.9633)","POINT (-73.96330263465643 40.7700004382059)","2014-09-02 10:17:00,40.77,-73.9633,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.77 -73.9633)","2014-09-02 10:17:00,40.77,-73.9633,B02512,2014-09-02 10:00:00,2014-09-02,10,1,Tuesday,9,September,POINT (40.77 -73.9633)"
